now_time is 2018-11-07 14-50-09, The Seconds_Behind_Master is 1
now_time is 2018-11-07 14-53-24, The Seconds_Behind_Master is 5
now_time is 2018-11-07 14-55-04, The Seconds_Behind_Master is 5
now_time is 2018-11-07 14-59-15, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-00-30, The Seconds_Behind_Master is 6
now_time is 2018-11-07 15-02-10, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-02-20, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-04-15, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-07-30, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-09-00, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-10-00, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-14-01, The Seconds_Behind_Master is 6
now_time is 2018-11-07 15-19-41, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-19-56, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-20-01, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-20-06, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-23-11, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-24-06, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-24-21, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-26-02, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-26-27, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-26-42, The Seconds_Behind_Master is 6
now_time is 2018-11-07 15-27-07, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-28-07, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-29-27, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-30-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-33-07, The Seconds_Behind_Master is 6
now_time is 2018-11-07 15-36-07, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-36-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-37-52, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-40-33, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-43-38, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-44-28, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-47-03, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-48-13, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-53-54, The Seconds_Behind_Master is 1
now_time is 2018-11-07 15-54-54, The Seconds_Behind_Master is 6
now_time is 2018-11-07 15-58-49, The Seconds_Behind_Master is 5
now_time is 2018-11-07 15-59-09, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-00-44, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-02-59, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-09-45, The Seconds_Behind_Master is 1
now_time is 2018-11-07 16-12-45, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-13-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 16-19-05, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-23-51, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-27-06, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-28-21, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-29-31, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-33-12, The Seconds_Behind_Master is 1
now_time is 2018-11-07 16-34-07, The Seconds_Behind_Master is 6
now_time is 2018-11-07 16-41-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-44-32, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-46-02, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-46-23, The Seconds_Behind_Master is 6
now_time is 2018-11-07 16-46-28, The Seconds_Behind_Master is 1
now_time is 2018-11-07 16-46-43, The Seconds_Behind_Master is 6
now_time is 2018-11-07 16-47-53, The Seconds_Behind_Master is 1
now_time is 2018-11-07 16-48-13, The Seconds_Behind_Master is 6
now_time is 2018-11-07 16-51-58, The Seconds_Behind_Master is 5
now_time is 2018-11-07 16-54-18, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-00-14, The Seconds_Behind_Master is 6
now_time is 2018-11-07 17-00-24, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-00-44, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-01-09, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-03-44, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-06-34, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-14-55, The Seconds_Behind_Master is 6
now_time is 2018-11-07 17-16-45, The Seconds_Behind_Master is 6
now_time is 2018-11-07 17-16-55, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-18-20, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-20-35, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-22-45, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-26-55, The Seconds_Behind_Master is 5
now_time is 2018-11-07 17-28-36, The Seconds_Behind_Master is 1
now_time is 2018-11-07 17-29-51, The Seconds_Behind_Master is 1
